ID,LOW X,MID X,HIGH X,LOW Y,MID Y,HIGH Y
2000 RZ92,165,166,166,496,503,510
1999 TH90,109,111,114,255,260,265
2004 RN50,1231,1235,1239,114,120,125
2000 KU3,199,201,203,195,200,206
2001 FO85,586,588,590,188,192,197
2014 TH28,509,512,515,94,98,103
2016 AW172,567,571,574,936,941,946
2018 RB,68,69,69,318,338,359
2005 SF90,408,410,412,397,391,386
2018 RX19,516,521,526,672,676,680
2018 RB10,515,520,525,681,685,690
2000 DD43,485,487,488,223,228,233
2000 EE17,1252,1252,1253,847,853,860
2016 AS350,873,877,882,156,161,166
2018 RW19,602,603,605,757,762,766
2005 EQ301,523,525,527,576,581,585
2016 BG55,1484,1486,1489,470,475,480
2015 AY219,1130,1133,1136,96,100,104
2008 WY119,1303,1305,1307,113,117,122
2022 OJ30,1145,1146,1148,175,180,186
2011 BN61,1061,1063,1064,901,907,913
2016 CM211,167,169,171,112,117,122
2013 CZ162,241,242,244,634,640,646
2021 GY143,341,343,344,282,289,295
2000 PN30,672,672,672,222,222,222
2023 CH1,1425,1427,1430,787,794,800
